Datum,Type,Aantal,AantalCumulatief
2020-05-09,Overleden besmette bewoners,25.0,2501.0
2020-05-10,Positief geteste bewoners,36.0,7622.0
2020-05-10,Overleden besmette bewoners,18.0,2519.0
2020-05-11,Positief geteste bewoners,52.0,7674.0
2020-05-11,Overleden besmette bewoners,19.0,2538.0
2020-05-12,Positief geteste bewoners,58.0,7732.0
2020-05-12,Overleden besmette bewoners,25.0,2563.0
2020-05-13,Positief geteste bewoners,88.0,7820.0
2020-05-13,Overleden besmette bewoners,15.0,2578.0
2020-05-14,Positief geteste bewoners,40.0,7860.0
2020-05-14,Overleden besmette bewoners,16.0,2594.0
2020-05-15,Positief geteste bewoners,42.0,7902.0
2020-05-15,Overleden besmette bewoners,10.0,2604.0
2020-05-16,Positief geteste bewoners,29.0,7931.0
2020-05-16,Overleden besmette bewoners,14.0,2618.0
2020-05-17,Positief geteste bewoners,23.0,7954.0
2020-05-17,Overleden besmette bewoners,12.0,2630.0
2020-05-18,Positief geteste bewoners,28.0,7982.0
2020-05-18,Overleden besmette bewoners,13.0,2643.0
2020-05-19,Positief geteste bewoners,21.0,8003.0
2020-05-19,Overleden besmette bewoners,16.0,2659.0
2020-05-20,Positief geteste bewoners,57.0,8060.0
2020-05-20,Overleden besmette bewoners,15.0,2674.0
2020-05-21,Positief geteste bewoners,12.0,8072.0
2020-05-21,Overleden besmette bewoners,6.0,2680.0
2020-05-22,Positief geteste bewoners,31.0,8103.0
2020-05-22,Overleden besmette bewoners,11.0,2691.0
2020-05-23,Positief geteste bewoners,11.0,8114.0
2020-05-23,Overleden besmette bewoners,13.0,2704.0
2020-05-24,Positief geteste bewoners,14.0,8128.0
2020-05-24,Overleden besmette bewoners,11.0,2715.0
2020-05-25,Positief geteste bewoners,20.0,8148.0
2020-05-25,Overleden besmette bewoners,9.0,2724.0
2020-05-26,Positief geteste bewoners,15.0,8163.0
2020-05-26,Overleden besmette bewoners,10.0,2734.0
2020-05-27,Positief geteste bewoners,16.0,8179.0
2020-05-27,Overleden besmette bewoners,12.0,2746.0
2020-05-28,Positief geteste bewoners,20.0,8199.0
2020-05-28,Overleden besmette bewoners,3.0,2749.0
2020-05-29,Positief geteste bewoners,8.0,8207.0
2020-05-29,Overleden besmette bewoners,8.0,2757.0
2020-05-30,Positief geteste bewoners,7.0,8214.0
2020-05-30,Overleden besmette bewoners,5.0,2762.0
2020-05-31,Positief geteste bewoners,5.0,8219.0
2020-05-31,Overleden besmette bewoners,8.0,2770.0
2020-06-01,Positief geteste bewoners,3.0,8222.0
2020-06-01,Overleden besmette bewoners,5.0,2775.0
2020-06-02,Positief geteste bewoners,4.0,8226.0
2020-06-02,Overleden besmette bewoners,4.0,2779.0
2020-06-03,Positief geteste bewoners,7.0,8233.0
